Title,Result,Hand switch,Same finger,Left hand,Right hand,Left hand continuos,Right hand continuos,Left finger continuos,Right finger continuos,Outward rolls,Inward rolls,Efforts,Distance
Capewell 9.2,45193617.65,47.041394,2.00065,52.08266,47.91734,24.04615,20.592579,1.499889,0.500761,1.325089,1.121522,98832840.65,47665034.04
Norman,45525407.6,50.455266,4.702983,52.456099,47.543901,24.800316,17.330407,2.355241,2.347741,2.673737,4.182726,99088143.5,46649178.52
Mtgap V2,45883461.92,48.539812,2.219063,47.084201,52.915799,20.097583,22.864456,0.998532,1.220531,1.216561,1.604332,98392443.3,48091639.02
Workman,47445482.48,53.213322,2.367174,49.522372,50.477628,20.53113,18.425939,1.107897,1.259277,1.846702,1.687218,104341732.7,49446477.14
Arensito,47806418.04,50.737255,1.569142,48.408069,51.591931,18.491889,22.58691,0.576548,0.992594,1.049794,1.263978,108640305.3,47044747.91
C-Qwerty,47938881.83,48.290954,5.345756,58.197649,41.802351,31.516131,13.038066,3.85628,1.489476,3.181462,3.901224,107675320.2,48878498.87
Collemak,47942703.73,51.910584,4.5349,48.393806,51.606194,19.979273,20.086835,3.294818,1.240082,0.813623,1.73332,107475042.2,49575367.82
Capewell 9.3,48011209.23,47.032259,2.066182,52.277813,47.722187,23.89154,20.752456,1.364322,0.70186,1.394741,1.139836,110323403.1,49490581.12
C-Qwerty N,48470886.62,48.290954,4.922597,58.197649,41.802351,31.516131,13.038066,3.85628,1.066317,2.966113,3.736252,108304816.1,47669391.21
QWERF,48516926.96,48.290954,4.72257,58.197649,41.802351,31.516131,13.038066,3.85628,0.86629,3.054381,3.944513,107871985.1,50087717.89
Niro,48696790.15,49.399818,3.495869,55.464785,44.535215,28.199457,14.990183,3.045347,0.450522,1.603085,2.351795,108290860.6,48582745.21
Soul,49135335.44,54.686361,2.383072,49.371712,50.628288,19.102899,18.335315,1.757732,0.625339,1.152669,1.562227,107494308,49559092.46
Breakl15,49162860.35,65.826767,2.436063,46.233075,53.766925,8.945973,17.240867,0.59728,1.838783,1.942188,1.793562,112285052.4,42820649.45
Asset,49421422.83,50.501631,4.281506,52.164623,47.835377,24.475287,17.564965,2.684818,1.596689,1.787859,2.452479,109737945.1,47750225.2
C-Qwerty 2,49594136.64,48.290954,5.364739,58.197649,41.802351,31.516131,13.038066,3.875263,1.489476,2.941701,3.462195,112471260.7,52014351.36
Capewell-Dvorak,51115005.05,61.646022,3.327597,49.861888,50.138112,14.715419,15.674638,2.144062,1.183535,1.819766,2.436567,120920054.6,45705076.4
Qfmlwy,51182598.68,65.240855,3.804616,50.216918,49.783082,14.682388,12.445085,1.569908,2.234709,2.019231,2.200393,121032878.6,43556445.46
Qwerty,51443513.18,48.290954,5.581466,58.197649,41.802351,31.516131,13.038066,3.875263,1.706203,2.97415,3.432625,114245001.9,54112473.19
Qgmlwy,51730501,63.99991,4.028855,48.382126,51.617874,13.541359,14.696425,1.612661,2.416194,2.057566,2.548201,124924518.5,44631754.31
Mtgap V1,51763536.69,61.640297,1.466548,51.182863,48.817137,16.019137,14.298194,0.359804,1.106745,1.0598,0.963373,122502251.4,43485922.36
Kaehi,51846819.67,64.727373,2.348925,49.54177,50.45823,14.350148,13.249166,1.592804,0.756122,1.318246,1.706143,118732968.5,45017963.69
Qgmlwb,51912589.82,64.228367,3.822031,49.349946,50.650054,14.326982,13.790358,1.76324,2.058791,2.225356,2.233585,125083505.1,44638433.83
Gelatin,52398205.69,61.918502,3.344234,47.974273,52.025727,14.373887,15.986106,1.495368,1.848867,1.893624,2.205023,121025427.9,45537721.82
Klausler,53374659.21,63.307755,2.634559,48.336339,51.663661,12.266107,16.381533,1.40831,1.226248,1.040643,1.24794,129126626.8,46647430.92
Dvorak,54172386.37,65.015753,2.523221,45.45322,54.54678,8.871743,18.2422,1.146255,1.376965,1.234723,1.922681,134566516.9,45259664.53
Tnwmlc,57007114.11,40.363025,15.660386,71.6472,28.3528,48.633145,4.436925,14.535412,1.124973,7.58605,7.305419,125989034.5,61155802.13
